fact_id,question,answer,easy_or_hard
1,käsi,hand,easy
2,pää,head,easy
3,ruma,ugly,easy
4,vuosi,year,easy
5,neljä,four,easy
6,viisi,five,easy
7,hyvä,good,easy
8,olut,beer,easy
9,lumi,snow,easy
10,kenkä,shoe,easy
11,kaula,neck,easy
12,vaimo,wife,easy
13,pitkä,tall,easy
14,kova,hard,easy
15,talo,house,easy
16,pieni,small,easy
17,vesi,water,easy
18,kolme,three,easy
19,kello,clock,easy
20,paita,shirt,easy
21,pilvi,cloud,easy
22,lyhyt,short,easy
23,ylpeä,proud,easy
24,lapsi,child,easy
25,rauhoittaa,calm,hard
26,kiireinen,busy,hard
27,naudanliha,beef,hard
28,kalastaa,fish,hard
29,sianliha,pork,hard
30,vasikanliha,veal,hard
31,yhdeksän,nine,hard
32,vesisade,rain,hard
33,vuorovesi,tide,hard
34,maljakko,vase,hard
35,kantapää,heel,hard
36,runoilija,poet,hard
37,hienostelija,snob,hard
38,kateellisuus,envy,hard
39,väsynyt,tired,hard
40,sateinen,rainy,hard
41,onnellinen,happy,hard
42,aurinkoinen,sunny,hard
43,suuttunut,angry,hard
44,sairaanhoitaja,nurse,hard
45,seitsemän,seven,hard
46,kahdeksan,eight,hard
47,päivänkakkara,daisy,hard
48,hiekkaranta,beach,hard
